Month,Starts
Jul 2014,101.0
Aug 2014,86.2
Sep 2014,94.2
Oct 2014,92.0
Nov 2014,75.8
Dec 2014,73.4
Jan 2015,73.0
Feb 2015,61.9
Mar 2015,79.7
Apr 2015,108.5
May 2015,99.6
Jun 2015,112.3
Jul 2015,107.2
Aug 2015,99.2
Sep 2015,111.6
Oct 2015,90.9
Nov 2015,89.9
Dec 2015,78.1
Jan 2016,74.3
Feb 2016,84.1
Mar 2016,90.7
Apr 2016,106.2
May 2016,105.0
Jun 2016,111.6
Jul 2016,115.2
Aug 2016,102.8
Sep 2016,95.0
Oct 2016,114.5
Nov 2016,87.8
Dec 2016,86.5
Jan 2017,82.3
Feb 2017,87.8
Mar 2017,97.1
Apr 2017,105.2
May 2017,106.0
Jun 2017,116.3
Jul 2017,112.3
Aug 2017,102.6
Sep 2017,104.4
Oct 2017,109.6
Nov 2017,97.9
Dec 2017,81.4
Jan 2018,91.6
Feb 2018,89.7
Mar 2018,107.2
Apr 2018,117.5
May 2018,123.7
Jun 2018,112.0
Jul 2018,111.9
Aug 2018,113.8
Sep 2018,109.7
Oct 2018,105.7
Nov 2018,91.2
Dec 2018,76.0
Jan 2019,87.0
Feb 2019,80.0
Mar 2019,98.2
Apr 2019,116.6
May 2019,118.1
Jun 2019,116.6
Jul 2019,113.7
